name,address,available_bikes,available_bike_stands,status,position_lat,position_lon,last_updated,metro_stations_nearby_500m,bus_stops_nearby_200m
ST-SERNIN - GATIEN - ARNOULT,2 RUE GATIEN ARNOULT,2,12,OPEN,43.609022,1.441105,2025-10-21 14:19:58.242834+00:00,2,0
VITARELLES - FRONDE,"21, chemin de la Fronde",4,9,OPEN,43.587323,1.39462,2025-10-21 14:19:58.242834+00:00,0,0
RIEUX - CHANT DU MERLE,FACE 15 RUE PIERRE LAROUSSE,1,17,OPEN,43.597355,1.459063,2025-10-21 14:19:58.242834+00:00,0,1
VALADE,31 RUE VALADE,13,8,OPEN,43.605031,1.437386,2025-10-21 14:19:58.242834+00:00,0,0
SAINT-MARTIN-DU-TOUCH GARE,"4, rue Marie Louise Dissard (sur la contre allée face au parking de la halte)",0,13,OPEN,43.600614,1.372218,2025-10-21 14:19:58.242834+00:00,0,1
CHARBONNIÈRE - PALMIERS,RUE DE LA CHARBONNIERE ENTRE IMP AMPERE ET RUE DES PALMIERS,1,17,OPEN,43.573732,1.448768,2025-10-21 14:19:58.242834+00:00,0,2
EMPALOT - MÉTRO,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,2,13,OPEN,43.579666,1.44184,2025-10-21 14:19:58.242834+00:00,1,1
RIMBAUD - COLETTE / PADER - FRONTON,8 RUE HILAIRE PADER,4,10,OPEN,43.63639,1.433072,2025-10-21 14:19:58.242834+00:00,1,1
REYNERIE - LIZOP,,6,6,OPEN,43.566932,1.400526,2025-10-21 14:19:58.242834+00:00,2,0
BELIN - SUPAERO,10 AV EDOUARD BELIN FACE CHATEAU D'EAU CREPS RD-PT JEAN LAGASSE,9,11,OPEN,43.56644,1.475301,2025-10-21 14:19:58.242834+00:00,0,1
GLOIRE - SAVIGNAC,"57, rue Labat de Savignac, 40m après angle rue de la Gloire",2,12,OPEN,43.605899,1.463601,2025-10-21 14:19:58.242834+00:00,0,1
AV. DE RANGUEIL - PELUDE,129 AV DE RANGUEIL,7,8,OPEN,43.57141,1.462732,2025-10-21 14:19:58.242834+00:00,2,2
HOTEL DE REGION,50 M AVANT 4 RUE DES GALLOIS,2,16,OPEN,43.589928,1.441706,2025-10-21 14:19:58.242834+00:00,1,0
MÉDIATHÈQUE JOSÉ CABANIS,50 RUE DU GENERAL COMPANS,5,19,OPEN,43.609757,1.455212,2025-10-21 14:19:58.242834+00:00,1,2
VERDIER - GRAND ROND,2 ALL FORAIN FRANCOIS VERDIER,1,25,OPEN,43.596904,1.452596,2025-10-21 14:19:58.242834+00:00,1,0
CARNOT - ROLAND,24 BD LAZARE CARNOT,2,15,OPEN,43.602914,1.451719,2025-10-21 14:19:58.242834+00:00,2,1
TOEC - LEMIRE,RUE DE L'ABBE JULES LEMIRE ANGLE VOIE DU TOEC,10,9,OPEN,43.597322,1.403694,2025-10-21 14:19:58.242834+00:00,0,1
FRONTON - LAPIN,"269, Avenue de Fronton",0,13,OPEN,43.651176,1.432557,2025-10-21 14:19:58.242834+00:00,0,1
BD DES MINIMES - PASSERELLE,38B BD DES MINIMES,0,26,OPEN,43.615273,1.442937,2025-10-21 14:19:58.242834+00:00,0,1
THÉATRE DES MAZADES,10 AV DES MAZADES,2,13,OPEN,43.624114,1.438463,2025-10-21 14:19:58.242834+00:00,2,2
ÉTATS-UNIS - FERRY,FACE 97 AV DES ETATS-UNIS ANGLE JULES FERRY,7,9,OPEN,43.632734,1.431732,2025-10-21 14:19:58.242834+00:00,1,1
00384 GUILHERMY - LAS BRUGUES,,2,10,OPEN,43.567628,1.371151,2025-10-21 14:19:58.242834+00:00,0,1
GLOIRE - SAINT BERNARD,"1, rue Saint-Bertrand",0,12,OPEN,43.605557,1.458483,2025-10-21 14:19:58.242834+00:00,0,2
BOURGES - MAUNOURY - MÉLAT,41 AV MAURICE BOURGES MAUNOURY,8,11,OPEN,43.63694,1.452615,2025-10-21 14:19:58.242834+00:00,1,2
ROUTE DE SEYSSES - C. DE VICOSE,Route de Seysses - C. de Viçose,8,5,OPEN,43.57179,1.418239,2025-10-21 14:19:58.242834+00:00,0,3
MARIN - REBOUL,FACE 1 CHEMIN DU MARIN,10,8,OPEN,43.581463,1.379769,2025-10-21 14:19:58.242834+00:00,0,0
SAINT-CYPRIEN - METRO VIÉ,2 PL INTERIEURE SAINT-CYPRIEN,12,1,OPEN,43.59778,1.431619,2025-10-21 14:19:58.242834+00:00,1,1
BRUNHES - FONTAINES,68 BD JEAN BRUNHES FACE AU 53,8,7,OPEN,43.600473,1.420165,2025-10-21 14:19:58.242834+00:00,0,3
PLACE GUY HERSANT,"Place Guy Hersant, angle rue Alfred Rambaud",4,8,OPEN,43.577461,1.442964,2025-10-21 14:19:58.242834+00:00,1,2
REVEL - LABEGE,", Rond-point route de Revel / route de Labège face Jardiland et Midas,",13,0,OPEN,43.570862,1.49832,2025-10-21 14:19:58.242834+00:00,0,1
DOUMERGUE - DAUDET,"Face 142, rue Gaston Doumergue - Tournefeuille",7,9,OPEN,43.586113,1.352169,2025-10-21 14:19:58.242834+00:00,0,0
SUISSE - LAUSANNE,62 BD DE SUISSE,4,18,OPEN,43.615988,1.42163,2025-10-21 14:19:58.242834+00:00,0,1
RAMONVILLE MÉTRO,Avenue Flora Tristan sur le côté sud du bâtiment d’accès métro - Ramonville,1,4,OPEN,43.55563,1.476132,2025-10-21 14:19:58.242834+00:00,1,1
COLOMBETTE - MAURY,41 RUE DE LA COLOMBETTE,6,10,OPEN,43.604565,1.453659,2025-10-21 14:19:58.242834+00:00,2,0
PLACE ROUAIX,1 RUE DES TOURNEURS,14,3,OPEN,43.599525,1.445544,2025-10-21 14:19:58.242834+00:00,2,2
LAGANNE - TEINTURIERS,37 RUE LAGANNE,4,14,OPEN,43.596667,1.436229,2025-10-21 14:19:58.242834+00:00,1,0
REYNERIE - LONDRES,"9, rue de Londres",6,7,OPEN,43.569148,1.408256,2025-10-21 14:19:58.242834+00:00,0,2
FER A CHEVAL - COURS DILLON,3 RUE LAGANNE,3,16,OPEN,43.593227,1.435062,2025-10-21 14:19:58.242834+00:00,0,1
BILLIÈRE - CHAMPETRE,12  AV  ETIENNE  BILLIERES,11,5,OPEN,43.597539,1.428891,2025-10-21 14:19:58.242834+00:00,2,1
ATLANTA - CAUNES,Face dépot Tisséo sur avenue Atlanta,9,4,OPEN,43.64046,1.469314,2025-10-21 14:19:58.242834+00:00,0,1
PERI - MERCADIER,30 RUE GABRIEL PERI,1,22,OPEN,43.606208,1.455005,2025-10-21 14:19:58.242834+00:00,1,1
ALSACE - LORRAINE - POMME,62 RUE DE LA POMME,9,9,OPEN,43.603302,1.445454,2025-10-21 14:19:58.242834+00:00,3,0
BD MATABIAU - INGRES,57 RUE DU PRINTEMPS,3,13,OPEN,43.614574,1.443571,2025-10-21 14:19:58.242834+00:00,0,1
BARRIERE DE LOMBEZ,39 BIS AV DE LOMBEZ,12,10,OPEN,43.595503,1.418503,2025-10-21 14:19:58.242834+00:00,2,3
JARDIN RAYMOND VI,ALLEE CHARLES DE FITTE / FACE JARDIN RAYMOND VI,11,22,OPEN,43.599797,1.429521,2025-10-21 14:19:58.242834+00:00,1,1
PLACE ROQUELAINE,32 PL ROQUELAINE,1,22,OPEN,43.612615,1.448286,2025-10-21 14:19:58.242834+00:00,1,1
PLACE ROBERT SCHUMAN,5 PL ROBERT SCHUMAN,2,14,OPEN,43.609622,1.449431,2025-10-21 14:19:58.242834+00:00,2,0
UNIV. PAUL SABATIER MÉTRO,118  RTE DE NARBONNE,10,19,OPEN,43.561074,1.462928,2025-10-21 14:19:58.242834+00:00,1,1
ROSTAND - BOUQUETINS,RUE DES BOUQUETINS ANGLE RUE EDMOND ROSTAND,9,11,OPEN,43.641013,1.448524,2025-10-21 14:19:58.242834+00:00,1,1
PLACE SAINT-JULIEN,PLACE SAINT JULIEN,18,6,OPEN,43.608639,1.436965,2025-10-21 14:19:58.242834+00:00,1,0
00343 CHAUBET - CHIRAC,,0,12,OPEN,43.604681,1.474453,2025-10-21 14:19:58.242834+00:00,0,3
MAFFRE - BASSO CAMBO,"Rue Robert Maffre, face 123, chemin de Basso Cambo",2,11,OPEN,43.561453,1.384967,2025-10-21 14:19:58.242834+00:00,0,2
DESBALS - FIEUX,187 RUE HENRI DESBALS,16,1,OPEN,43.58456,1.415683,2025-10-21 14:19:58.242834+00:00,2,1
LASCROSSES - LECLERC,47 BD LASCROSSES,17,8,OPEN,43.609277,1.432157,2025-10-21 14:19:58.242834+00:00,1,1
SALADE PONSAN - COTEAUX,"2, rue Thomas Edison",4,9,OPEN,43.567744,1.451907,2025-10-21 14:19:58.242834+00:00,0,1
CITE DE L'ESPACE,Parking Cité de l’Espace le long de l’avenue Jean Gonord,7,5,OPEN,43.586894,1.492386,2025-10-21 14:19:58.242834+00:00,0,1
ZENITH TRAMWAY,"Face 151, avenue de Grande-Bretagne / Massonié",1,10,OPEN,43.601356,1.411617,2025-10-21 14:19:58.242834+00:00,0,2
BELIN - ONERA,4 AV EDOUARD BELIN DEVANT ONERA FACE AU CREPS,4,16,OPEN,43.570117,1.473463,2025-10-21 14:19:58.242834+00:00,0,1
NÉGO SAOUMOS - ZIEGLER,"50m avant 5, rue Négo Saoumos",4,9,OPEN,43.605637,1.364053,2025-10-21 14:19:58.242834+00:00,0,1
LIFFARD - REGUELONGUE,Liffard - Règuelongue,2,11,OPEN,43.55978,1.37828,2025-10-21 14:19:58.242834+00:00,0,0
SERRES - ARNAUD BERNARD,33 AV HONORE SERRES,6,11,OPEN,43.612627,1.438268,2025-10-21 14:19:58.242834+00:00,2,1
BRIENNE - MANUFACTURE,19T ALL DE BRIENNE,0,23,OPEN,43.605381,1.432485,2025-10-21 14:19:58.242834+00:00,0,1
BAROUX - LIMAYRAC,"Avenue Lucien Baroux, face parking Place Auguste Albert",4,13,OPEN,43.591603,1.479018,2025-10-21 14:19:58.242834+00:00,0,1
ROUTE DE BLAGNAC - BERNIES,15 RUE PAUL BERNIES,8,9,OPEN,43.611584,1.414669,2025-10-21 14:19:58.242834+00:00,0,1
MONTEL - LANGUEDOC,"Devant 17, boulevard Eugène Montel - Tournefeuille",8,8,OPEN,43.585029,1.342821,2025-10-21 14:19:58.242834+00:00,0,2
ROUTE DE SEYSSES - BELLEFONTAINE,"Face 10, allée Bellefontaine",2,10,OPEN,43.562792,1.406829,2025-10-21 14:19:58.242834+00:00,0,1
LESPINET - HERBETTES,ANGLE AVENUE DE LESPINET ET RUE GEORGES BIDAULT,3,22,OPEN,43.576637,1.470245,2025-10-21 14:19:58.242834+00:00,0,1
POIDS DE L'HUILE,12 RUE DU POIDS DE L'HUILE,16,2,OPEN,43.60419,1.445475,2025-10-21 14:19:58.242834+00:00,3,1
STE - LUCIE - ARCS ST - CYPRIEN,53 RUE SAINTE-LUCIE,2,15,OPEN,43.593516,1.430039,2025-10-21 14:19:58.242834+00:00,1,2
PLACE VICTOR HUGO,6 RUE DU REMPART VILLENEUVE,15,10,OPEN,43.605777,1.446507,2025-10-21 14:19:58.242834+00:00,3,1
PLACE PAUL RICHÉ,PL PAUL RICHE A COTE 231 AV DE FRONTON,6,14,OPEN,43.647504,1.43286,2025-10-21 14:19:58.242834+00:00,0,1
PARC DE GIRONIS,Parking salle des fêtes de Lafourguette,0,12,OPEN,43.564067,1.413739,2025-10-21 14:19:58.242834+00:00,0,0
CARTOUCHERIE TRAMWAY,Place de la Charte des Libertes (le long du tram),1,11,OPEN,43.602797,1.408133,2025-10-21 14:19:58.242834+00:00,0,1
AV. DE MURET - DUBOUL,"3, rue Axel Duboul - Carrefour avenue de Muret",5,6,OPEN,43.57981,1.4237,2025-10-21 14:19:58.242834+00:00,0,1
RAYNAL - LOUIN,50M APRES 4 RUE PIERRETTE LOUIN,6,9,OPEN,43.628145,1.451413,2025-10-21 14:19:58.242834+00:00,0,2
RE DE ST - SIMON - PRADO,355 ROUTE DE SAINT-SIMON,6,14,OPEN,43.587845,1.409785,2025-10-21 14:19:58.242834+00:00,0,1
PLACE DU SALIN,18 PL DU SALIN,22,10,OPEN,43.594461,1.443822,2025-10-21 14:19:58.242834+00:00,2,3
BORDEROUGE - MÉTRO,FACE 52 AV BOURGES MAUNOURY,0,28,OPEN,43.639633,1.452569,2025-10-21 14:19:58.242834+00:00,1,1
TOURAINE - AUVERGNE,38 RUE DE LA TOURAINE,16,2,OPEN,43.573708,1.41394,2025-10-21 14:19:58.242834+00:00,0,1
BORDEBLANCHE - BROUSSIN,"16, chemin de Bordeblanche",8,5,OPEN,43.582717,1.386115,2025-10-21 14:19:58.242834+00:00,0,2
RANGUEIL - MÉTRO,23 RUE GUYOU,7,13,OPEN,43.57421,1.462367,2025-10-21 14:19:58.242834+00:00,1,1
BONNEFOY - LEMAITRE,179 RUE DU FAUBOURG BONNEFOY,3,13,OPEN,43.622963,1.458647,2025-10-21 14:19:58.242834+00:00,0,1
VIGUERIE -  LANGE,1 PL LANGE,4,15,OPEN,43.601016,1.434129,2025-10-21 14:19:58.242834+00:00,1,0
TERRASSE - MONT VENTOUX,FACE 42 CHE DE LA TERRASSE,0,15,OPEN,43.586086,1.482942,2025-10-21 14:19:58.242834+00:00,0,1
CHATEAU D'EAU,12 PLACE LAGANNE,14,1,OPEN,43.59859,1.436594,2025-10-21 14:19:58.242834+00:00,1,1
POMPIDOU - MARNAC,"Face 9, allée Georges Pompidou - Ramonville",2,5,OPEN,43.548859,1.477414,2025-10-21 14:19:58.242834+00:00,0,2
BORNE CGB ATELIER,16 rue Brouardel,8,3,OPEN,43.6159088,1.0001755,2025-10-21 14:19:58.242834+00:00,0,0
DUMERIL - SAINT JOSEPH,FACE 104 RUE ALFRED DUMERIL,4,13,OPEN,43.591224,1.452159,2025-10-21 14:19:58.242834+00:00,0,3
AV. DE REYNERIE - VAUQUELIN,FACE 85 RUE VAUQUELIN,11,9,OPEN,43.576221,1.406355,2025-10-21 14:19:58.242834+00:00,1,0
ILE DU RAMIER - PASSERELLE CONTI,ILE DU RAMIER - PASSERELLE CONTI,2,10,OPEN,43.580259,1.434156,2025-10-21 14:19:58.242834+00:00,0,0
SAINT-MICHEL - CASTELET,18 B GRANDE RUE ST MICHEL,4,16,OPEN,43.58585,1.447374,2025-10-21 14:19:58.242834+00:00,1,0
LESTAND - PERGAUD,"32, chemin de Lestang – passage Louis Pergaud",7,5,OPEN,43.564715,1.395886,2025-10-21 14:19:58.242834+00:00,1,1
GUESDE - OZENNE,35 ALL JULES GUESDE,2,20,OPEN,43.594812,1.449176,2025-10-21 14:19:58.242834+00:00,2,2
FRONTON - ALLENDE,Avenue Salvador Allende – parking face restaurant « la côte et l’arête » - Aucamville,8,6,OPEN,43.661581,1.43105,2025-10-21 14:19:58.242834+00:00,0,1
AV. DE MURET - LAFAGE,121 AVENUE DE MURET,3,15,OPEN,43.584339,1.427597,2025-10-21 14:19:58.242834+00:00,0,1
PLACE DU BUSCA,PLACE DU BUSCA / FACE ECOLE JEAN JAURES,4,10,OPEN,43.588588,1.451003,2025-10-21 14:19:58.242834+00:00,1,1
DAURAT - CORNEMONT,"2, rue René Cornemont - Face rond-point Henri Erable",0,10,OPEN,43.56481,1.488996,2025-10-21 14:19:58.242834+00:00,0,1
BRUNAUD - PLANA,FACE 100 AV YVES BRUNAUD,8,11,OPEN,43.619291,1.468681,2025-10-21 14:19:58.242834+00:00,1,1
SOUPETARD - GENÊTS,"42, rue Soupetard",2,11,OPEN,43.610183,1.472401,2025-10-21 14:19:58.242834+00:00,0,1
RIQUET - CAMICHEL,1 RUE CHARLES CAMICHEL,13,8,OPEN,43.602708,1.454367,2025-10-21 14:19:58.242834+00:00,1,0
LASCROSSES - ARNAUD BERNARD,3B BD LASCROSSES,5,18,OPEN,43.611271,1.438093,2025-10-21 14:19:58.242834+00:00,1,1
00068  PALAIS DE JUSTICE - METRO,1 BIS ALLEE JULES GUESDE,3,9,OPEN,43.592782,1.444726,2025-10-21 14:19:58.242834+00:00,1,2
CHAUSSAS - DAUDET,96 RUE DE CHAUSSAS,2,16,OPEN,43.619704,1.429176,2025-10-21 14:19:58.242834+00:00,0,0
AUCAMVILLE MAIRIE,"101, Route de fronton - Aucamville",6,10,OPEN,43.667507,1.429317,2025-10-21 14:19:58.242834+00:00,0,2
LARDENNE - MAXWELL,"Face 343, avenue de Lardenne et du groupe scolaire Emilie Chatelet",2,14,OPEN,43.590272,1.367674,2025-10-21 14:19:58.242834+00:00,0,2
HOTEL DE DÉPARTEMENT,1 BD DE LA MARQUETTE,3,21,OPEN,43.615275,1.434944,2025-10-21 14:19:58.242834+00:00,2,2
BLAGNAC MAIRIE,"Place Jean-Louis Puig, face mairie - Blagnac",11,5,OPEN,43.634559,1.397157,2025-10-21 14:19:58.242834+00:00,0,2
PLACE ANTONIN FROIDURE,12 AV BOURGES MAUNOURY,11,7,OPEN,43.628672,1.448469,2025-10-21 14:19:58.242834+00:00,0,3
CAPELLES - ECOLE VETERINAIRE,,3,10,OPEN,43.601523,1.384712,2025-10-21 14:19:58.242834+00:00,0,1
ARTHAUD - NETWILLER,RON?D-POINT NETWILLER - BORDEROUGE,9,9,OPEN,43.643358,1.455501,2025-10-21 14:19:58.242834+00:00,1,3
CHEMIN DE TOURNEFEUILLE - BOURIETTE,"Parking, 212 chemin de Tournefeuille",1,12,OPEN,43.605078,1.376499,2025-10-21 14:19:58.242834+00:00,0,1
PUJOL - PÉRIGNON,6 AV LOUIS BLERIOT,1,18,OPEN,43.600361,1.464039,2025-10-21 14:19:58.242834+00:00,0,1
COLONNE - SALONIQUE,"Face 90, avenue de la Colonne, 30 m après angle rue de Caillibens",3,10,OPEN,43.610556,1.464953,2025-10-21 14:19:58.242834+00:00,0,1
LARDENNE - CALQUET,"Face au 145, avenue de Lardenne / Chemin de Calquet",6,7,OPEN,43.5937364,1.3911254,2025-10-21 14:19:58.242834+00:00,0,1
CARNOT - IDRAC,6 BD LAZARE CARNOT,2,23,OPEN,43.601372,1.452038,2025-10-21 14:19:58.242834+00:00,1,1
FOURNIER - JARDINERIE,Rue Alain Fournier,4,9,OPEN,43.606486,1.36915,2025-10-21 14:19:58.242834+00:00,0,1
RUE DE CUGNAUX - GRAVETTE,RUE DE CUGNAUX,10,7,OPEN,43.593147,1.424313,2025-10-21 14:19:58.242834+00:00,2,0
EISENHOWER - LESTANG,"Avenue du général Eisenhower, face au collège Saint Simon",9,3,OPEN,43.5599624,1.3944267,2025-10-21 14:19:58.242834+00:00,0,2
GUILLAUMET - CEAT,"Face 24, avenue Henri Guillaumet (nouveau quartier)",4,9,OPEN,43.61445,1.469636,2025-10-21 14:19:58.242834+00:00,0,0
BONNEFOY - ARAGO,18 RUE BONNEFOY,14,6,OPEN,43.616939,1.454243,2025-10-21 14:19:58.242834+00:00,0,1
SELLIER - MOUETTES,2 RUE DES MOUETTES / ANGLE ALL HENRI SELLIER,3,13,OPEN,43.576893,1.440049,2025-10-21 14:19:58.242834+00:00,1,2
NARBONNE - SAHUQUE,FACE 88 RTE DE NARBONNE STATION ESSO,16,4,OPEN,43.566528,1.458648,2025-10-21 14:19:58.242834+00:00,0,1
VESTREPAIN - LOT,RUE DU LOT / 100M AVANT LA RUE VESTREPAIN,6,11,OPEN,43.583264,1.407055,2025-10-21 14:19:58.242834+00:00,0,2
CARNOT - LABEDA,63 BD LAZARE CARNOT,8,16,OPEN,43.604079,1.450158,2025-10-21 14:19:58.242834+00:00,3,1
JAURES - BONREPOS,81 ALLEE JEAN JAURES,3,20,OPEN,43.609222,1.453542,2025-10-21 14:19:58.242834+00:00,1,2
PLACE DES TIBAOUS,"Face 11 et 13, rue Missak Manouchian",1,10,OPEN,43.550424,1.386158,2025-10-21 14:19:58.242834+00:00,0,1
RENAN - VITRY,93 RUE ERNEST RENAN ANGLE RUE VITRY,13,5,OPEN,43.635856,1.443828,2025-10-21 14:19:58.242834+00:00,1,1
PLACE SAINT-ETIENNE,14 PL SAINT-ETIENNE,7,15,OPEN,43.600055,1.449273,2025-10-21 14:19:58.242834+00:00,3,0
GRANDE-BRETAGNE - BADIOU,103 BIS AV DE GRANDE BRETAGNE ANGLE RUE BADIOU,1,16,OPEN,43.599732,1.415372,2025-10-21 14:19:58.242834+00:00,0,1
PUJOL - GOUJON,6 RUE JEAN GOUJON,5,16,OPEN,43.601719,1.458019,2025-10-21 14:19:58.242834+00:00,1,1
JARDIN NIEL,FACE 80 RUE SAINT ROCH / ANGLE AC DU 14EME REGIMENT D'INFANTERIE,2,13,OPEN,43.578687,1.446733,2025-10-21 14:19:58.242834+00:00,2,1
FRONTON - DUCLOS,RUE LEONCE DUCLOS / ANGLE AV DE FRONTON FACE 26 IMP DU BARON,2,16,OPEN,43.644963,1.433998,2025-10-21 14:19:58.242834+00:00,0,1
FAC. DE PHARMACIE MÉTRO,FACE 35 CHEMIN DES MARAICHERS,5,12,OPEN,43.568165,1.464353,2025-10-21 14:19:58.242834+00:00,1,2
EGLISE DES MINIMES,27 AV DES MINIMES,2,16,OPEN,43.618287,1.436857,2025-10-21 14:19:58.242834+00:00,2,1
MAL CLABEL - AUDE,FACE 25 RUE DE L AUDE,2,15,OPEN,43.583202,1.481757,2025-10-21 14:19:58.242834+00:00,0,1
PLACE DE LA DAURADE,2 PL DE LA DAURADE,16,6,OPEN,43.601888,1.440368,2025-10-21 14:19:58.242834+00:00,1,0
ROUTE DE LAUNAGUET - DELBO,"Rond-point, 50m avant 283, route de Launaguet",3,9,OPEN,43.651318,1.438377,2025-10-21 14:19:58.242834+00:00,0,1
DESBALS - BOUALAM,1 IMPASSE BACHAGA BOUALAM,11,6,OPEN,43.579171,1.410939,2025-10-21 14:19:58.242834+00:00,1,1
LA VACHE MÉTRO,FACE AU 8 RUE PAUL VERLAINE,0,19,OPEN,43.633454,1.435519,2025-10-21 14:19:58.242834+00:00,1,1
METZ - MARCHANDS,28 RUE DES MARCHANDS,11,23,OPEN,43.600021,1.44293,2025-10-21 14:19:58.242834+00:00,2,2
